Exercise Name,Muscle Group(s),Instructions,Tips
Squat,Glutes; Hamstrings; Quadriceps,"Stand with feet shoulder-width apart. Lower your body by bending knees and hips, keeping back straight. Return to standing. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Keep your back straight throughout the movement; Use a full range of motion; Control both the lifting and lowering phases
Front Squat,Glutes; Quadriceps,"Hold barbell on front shoulders. Squat down, keeping torso upright, then return to start. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Hack Squat,Quadriceps,"Use hack squat machine, lower body by bending knees, then press up. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Avoid locking your elbows at the top of the movement; Use a full range of motion; Control both the lifting and lowering phases
Bulgarian Split Squat,Glutes; Quadriceps,"Place rear foot on bench, squat with front leg until thigh is parallel, then return. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Lunge,Glutes; Hamstrings; Quadriceps,"Step forward, lower both knees to 90°, push back to starting position. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Keep your back straight throughout the movement; Avoid locking your elbows at the top of the movement; Use a full range of motion
Reverse Lunge,Glutes; Hamstrings,"Step backward into a lunge, keeping chest up, then return. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Keep your back straight throughout the movement; Use a full range of motion; Control both the lifting and lowering phases
Step-Up,Glutes; Quadriceps,"Step up onto bench with one foot, bring the other up, then step down. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Deadlift,Glutes; Hamstrings; Lower Back,Lift bar from ground with straight back by extending hips and knees. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.,Keep your back straight throughout the movement; Use a full range of motion; Control both the lifting and lowering phases
Romanian Deadlift,Glutes; Hamstrings,"Lower bar with slight knee bend, hinging at hips, then return. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Sumo Deadlift,Hamstrings; Inner Thighs,"Wider stance, grip inside knees, pull bar up while keeping back straight. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Keep your back straight throughout the movement; Use a full range of motion; Control both the lifting and lowering phases
Leg Press,Glutes; Quadriceps,"Use machine to press weight with legs, lower with control. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Avoid locking your elbows at the top of the movement; Use a full range of motion; Control both the lifting and lowering phases
Leg Curl,Hamstrings,"Lie on machine, curl heels toward glutes, then lower. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Seated Leg Curl,Hamstrings,Sit and curl padded lever with ankles toward glutes. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.,Use a full range of motion; Control both the lifting and lowering phases
Leg Extension,Quadriceps,"Sit on machine, extend legs until straight, then lower. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Calf Raise,Calves,"Raise heels standing or seated, hold at top, then lower. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
Seated Calf Raise,Calves,"Sit on machine, raise heels, then lower under control. Maintain controlled movements throughout and avoid using momentum. Ensure proper breathing – exhale on exertion and inhale on the release.",Use a full range of motion; Control both the lifting and lowering phases
